name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
Royal Enfield Classic 350,175000,2019,Individual,1st owner,350.0,
Honda Dio,45000,2017,Individual,1st owner,5650.0,
Royal Enfield Classic Gunmetal Grey,150000,2018,Individual,1st owner,12000.0,148114.0
Yamaha Fazer FI V 2.0 [2016-2018],65000,2015,Individual,1st owner,23000.0,89643.0
Yamaha SZ [2013-2014],20000,2011,Individual,2nd owner,21000.0,
Honda CB Twister,18000,2010,Individual,1st owner,60000.0,53857.0
Honda CB Hornet 160R,78500,2018,Individual,1st owner,17000.0,87719.0
Royal Enfield Bullet 350 [2007-2011],180000,2008,Individual,2nd owner,39000.0,
Hero Honda CBZ extreme,30000,2010,Individual,1st owner,32000.0,
Bajaj Discover 125,50000,2016,Individual,1st owner,42000.0,60122.0
Yamaha FZ16,35000,2015,Individual,1st owner,32000.0,78712.0
Honda Navi,28000,2016,Individual,2nd owner,10000.0,47255.0
Bajaj Avenger Street 220,80000,2018,Individual,1st owner,21178.0,95955.0
Yamaha YZF R3,365000,2019,Individual,1st owner,1127.0,351680.0
Jawa 42,185000,2020,Individual,1st owner,1700.0,
Suzuki Access 125 [2007-2016],25000,2012,Individual,1st owner,55000.0,58314.0
Hero Honda Glamour,25000,2006,Individual,1st owner,27000.0,
Yamaha YZF R15 S,40000,2010,Individual,2nd owner,45000.0,117926.0
Royal Enfield Classic Gunmetal Grey,150000,2018,Individual,1st owner,23000.0,148114.0
Yamaha FZ25,120000,2018,Individual,1st owner,39000.0,132680.0
Hero Passion Pro 110,15000,2008,Individual,1st owner,60000.0,
Honda Navi [2016-2017],26000,2016,Individual,1st owner,17450.0,44389.0
Honda Activa i,32000,2013,Individual,2nd owner,20696.0,53900.0
Jawa Standard,180000,2019,Individual,1st owner,2000.0,
Royal Enfield Thunderbird 350,110000,2016,Individual,1st owner,20000.0,
Honda Dream Yuga,25000,2012,Individual,1st owner,35000.0,56147.0
TVS Apache RTR 160 4V,80000,2018,Individual,1st owner,15210.0,
Honda Navi [2016-2017],42000,2017,Individual,1st owner,24000.0,44389.0
Yamaha Fazer [2009-2016],40000,2013,Individual,3rd owner,35000.0,84751.0
Hero Honda Splendor NXG,21000,2009,Individual,1st owner,10000.0,
Hero Glamour 125,55000,2017,Individual,1st owner,2500.0,61600.0
Yamaha FZ S [2012-2016],38000,2013,Individual,1st owner,75000.0,79432.0
Hero Xtreme Sports,43000,2016,Individual,2nd owner,50000.0,78350.0
Honda X-Blade,65000,2018,Individual,1st owner,27000.0,
Honda CB Shine SP,62000,2019,Individual,1st owner,10000.0,71049.0
Honda Activa 5G,60000,2018,Individual,1st owner,6502.0,57557.0
Hero Glamour 125,45000,2018,Individual,1st owner,21000.0,61600.0
Honda CBR-250R,120000,2016,Individual,1st owner,16000.0,202310.0
Hero Honda Passion PRO [2012],30000,2011,Individual,1st owner,42000.0,
Royal Enfield Thunderbird 350,90000,2015,Individual,3rd owner,13000.0,
Bajaj Dominar 400,125000,2017,Individual,1st owner,12800.0,
Hero Glamour FI,50000,2018,Individual,1st owner,20000.0,71150.0
KTM 390 Duke,175000,2017,Individual,1st owner,4600.0,
Hero Passion XPro,28000,2012,Individual,1st owner,81000.0,56750.0
Yamaha FZ S V 2.0,85000,2018,Individual,1st owner,8000.0,84042.0
